Gene	Direction_in_ABCs
Lgals1	down
Rrp8	down
Kcna2	down
Serpina3g	down
Atp5b	down
Cebpzos	down
Slc25a22	down
Itpripl2	down
Psmd10	down
Zxdb	down
Taf1c	down
Slc25a10	down
Apba3	down
Serpina3f	down
Fcgr4	down
Gba	down
Psmc5	down
Csf2ra	down
Cstf1	down
Rltpr	down
Maged1	down
D17H6S53E	down
Psmb5	down
Psme3	down
Ctdsp1	down
Nr4a1	down
Ndufc2	down
Fcgr3	down
Slc25a3	down
Ndufc1	down
Slc25a5	down
Asna1	down
Lysmd4	down
Dnttip2	down
Rrp9	down
Bloc1s6	down
Fcgr2b	down
Atp6v1g1	down
Prkab1	down
Herpud1	down
Atp6v1f	down
Kcnj2	down
Slc25a4	down
Nr1h2	down
D10Jhu81e	down
Psma1	down
Atp6ap1	down
Psmb3	down
Polg2	down
Psmb8	down
Hsp90aa1	down
Klra3	down
Nfatc2ip	down
Pip4k2c	down
H2-DMa	down
Fcgr1	down
Twf2	down
Pafah1b3	down
Ankra2	down
Pik3r2	down
Aaas	down
Utp11l	down
Trnt1	down
Twf1	down
H2-K1	down
Sdhb	down
Atp1b1	down
Nfe2l1	down
Snf8	down
Nuak2	down
Psmc1	down
Psma4	down
Ndufab1	down
Psmc3	down
Sdhc	down
Dnttip1	down
Cited2	down
Utp23	down
Ppp1cc	down
Krr1	down
Fuca1	down
Mkrn2	down
Gaa	down
H2-Aa	down
Sdhd	down
Prkrir	down
Lysmd2	down
Prkab2	down
Utp15	down
Ctdsp2	down
Slc25a1	down
Psmb9	down
Chrnb1	down
Gga3	down
Alad	down
Lysmd3	down
Klra1	down
Hsp90b1	down
Abcd4	down
Spc25	down
H2-Ab1	down
Manbal	down
Slc6a12	down
Prkag1	down
B4galt7	down
Kcnj10	down
Dnal4	down
Nr1h3	down
Mapre1	down
H2-DMb1	down
Gtf3c6	down
Paics	down
Psma5	down
Klra2	down
Slc7a5	down
Gga1	down
Spc24	down
Pop4	down
Atp6v1e1	down
Clns1a	down
Ppp2r5a	down
Atp6v1d	down
Myl12b	down
Abca7	down
Fcgrt	down
H2-DMb2	down
