"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"79","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0005178","integrin binding","10/296","155/28409",0.0645161290322581,6.19202266782912,6.65081775383026,5.62388242895909e-06,0.000389389333392341,0.000308366736627474,"17387/16000/12304/14268/22329/12557/21894/16409/104099/381924",10
"80","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0043394","proteoglycan binding","6/296","44/28409",0.136363636363636,13.0876842751843,8.23361661803481,6.15464964878081e-06,0.000389389333392341,0.000308366736627474,"19280/14268/12628/16409/18782/11603",6
"81","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0046977","TAP binding","5/296","26/28409",0.192307692307692,18.4569906444906,9.13775465883169,6.52607821327946e-06,0.000389389333392341,0.000308366736627474,"21355/21354/15039/110557/14964",5
"82","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0005537","D-mannose binding","5/296","33/28409",0.151515151515152,14.5418714168714,7.98679719692151,2.21817094026638e-05,0.00119115779492304,0.000943306378808017,"17159/56620/16004/17533/26888",5
"83","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0050839","cell adhesion molecule binding","13/296","310/28409",0.0419354838709677,4.02481473408893,5.4947353967864,2.53642902194824e-05,0.00123823853162382,0.000980590741499606,"17387/16000/12304/14268/22329/12557/21894/16409/54725/268663/21810/104099/381924",13
"84","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0042287","MHC protein binding","6/296","61/28409",0.0983606557377049,9.44029685423128,6.77133056481689,4.17381568983195e-05,0.0018677825211998,0.00147914170060711,"21355/71779/21354/15039/110557/14964",6
"85","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0005539","glycosaminoglycan binding","11/296","250/28409",0.044,4.22295945945946,5.25204963779263,6.91731435751465e-05,0.00282464998780255,0.00223690795858518,"72043/19280/14586/14268/12628/13805/16409/75612/18782/11603/20564",11
"86","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0042288","MHC class I protein binding","5/296","42/28409",0.119047619047619,11.4257561132561,6.93806063646397,7.36407818049081e-05,0.00282464998780255,0.00223690795858518,"21355/21354/15039/110557/14964",5
"87","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0140359","ABC-type transporter activity","5/296","48/28409",0.104166666666667,9.9975365990991,6.4017109284764,0.000140862766982016,0.00504288705795618,0.00399358300777085,"76408/27410/21355/239273/21354",5
"88","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0019955","cytokine binding","8/296","146/28409",0.0547945205479452,5.25897815623843,5.29401661709164,0.000153798628743842,0.00516186647721521,0.00408780565871792,"16160/12978/21934/13805/12771/17965/11603/12767",8
